,Unnamed: 0,Unnamed: 0.1,rates_code,rates_authority_id,rates_authority,region,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V6,V7,V8,V9,V10,V11,V12,V18,V22,V23,V24,V25,V27,V29,V31,V32,V33,V34,V35,V37,V40,V41,V42,V43,V44,V45,V46,V47,V49,V50,V52,V53,V61,V62,V63,V65,V66,V67,V68,V69,V71,V73,V74,V75,V76,geometry,new_date,locaton_code,period2,duration,study-start,time-of-entry,time-at-vacant,vacant,survival,entry,stat,StatusChange,TenantChange,highstreet
6664063,76565,76565,00426000910011,E09000007,Camden,Inner London - West,9,BAYNES MEWS,LONDON,NW3 5BH,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,47.28,10000.0,2010-02-23 00:00:00+00:00,2010,2013-06,4620.0,6664063,,True,2010-04-01,,True,5010831,17692003.0,C,,526802.0,184895.0,51.5487096,-0.1726193,1,,,,9.0,,,,9.0,,,,,20400426,,N,osgb1000002298669330,12.0,osgb4000000030329929,4,osgb1000004337205,7,6664063.0,BAYNES MEWS,,BAYNES MEWS,LONDON,CAMDEN,LONDON,NW3 5BH,NW3 5BH,S,1H,D,E05000133,2012-03-19,1,IF3,96.0,POINT (526803.7634487136 184895.2950355731),2010-04-01,6664063,2013-07-01,1187,2010-04-01,0 days,1187,1,1187,0,1,False,True,Belsize
6664063,76596,76596,00426000910011,E09000007,Camden,Inner London - West,9,BAYNES MEWS,LONDON,NW3 5BH,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,47.28,14000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6986.0,MILKWOOD ADVISORS LIMITED,1919.71,True,2013-08-01,2800.0,True,5010831,17692003.0,C,,526802.0,184895.0,51.5487096,-0.1726193,1,,,,9.0,,,,9.0,,,,,20400426,,N,osgb1000002298669330,12.0,osgb4000000030329929,4,osgb1000004337205,7,6664063.0,BAYNES MEWS,,BAYNES MEWS,LONDON,CAMDEN,LONDON,NW3 5BH,NW3 5BH,S,1H,D,E05000133,2012-03-19,1,IF3,96.0,POINT (526803.7634487136 184895.2950355731),2013-08-01 00:00:00,6664063,2021-04-01,2800,2010-04-01,1218 days,4018,0,2800,1218,1,False,True,Belsize
8175063,42148,42148,00294005800009,E09000007,Camden,Inner London - West,58,BELSIZE LANE,LONDON,NW3 5AR,Restaurants,234,Retail Restaurants & Cafes,Retail,77.7,21250.0,2017-04-01 00:00:00+00:00,2017,2021-03,10603.75,8175063,,True,2017-04-01,,True,5030622,17691880.0,P,,526863.0,184970.0,51.54937,-0.171713,1,,,58A,,,,,58.0,A,,,,20400294,,N,osgb1000002298669080,13.0,osgb4000000030223555,6,osgb1000004337126,4,8175063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AR,NW3 5AR,S,1Q,D,E05000133,2012-03-19,2,CR,234.0,POINT (526864.7641783667 184970.3048142729),2017-04-01 00:00:00,8175063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Belsize
8254063,42240,42240,0029400641001A,E09000007,Camden,Inner London - West,64,BELSIZE LANE,LONDON,NW3 5BJ,Shops,249,Retail High Street,Retail,118.7,21500.0,2009-11-16 00:00:00+00:00,2010,2011-03,8750.5,ODDBINS LTD - IN LIQUIDATION,8901.0,True,2010-04-01,365.0,True,5008480,17692007.0,C,,526849.0,184944.0,51.5491395,-0.17192420000000005,1,,,,64.0,,,,64.0,,,,,20400294,,N,osgb1000002298669151,8.0,osgb4000000030411103,2,osgb1000004337176,3,8254063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BJ,NW3 5BJ,S,1A,D,E05000133,2012-03-19,1,CS,249.0,POINT (526850.7619075448 184944.3061467477),2010-04-01 00:00:00,8254063,2011-04-01,365,2010-04-01,0 days,365,1,365,0,1,False,True,Belsize
24170063,41451,41451,00287001910015,E09000007,Camden,Inner London - West,19,DALEHAM MEWS,LONDON,NW3 5DB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,83.42,8500.0,2010-04-01 00:00:00+00:00,2010,2011-12,3621.0,24170063,,True,2010-04-01,,True,5011906,17692150.0,C,,526770.0,184911.0,51.54886060000001,-0.17307479999999995,1,,,,19.0,,,,19.0,,,,,20400287,,N,osgb1000002298669357,10.0,osgb4000000030139073,2,osgb1000004337233,4,24170063.0,DALEHAM MEWS,,DALEHAM MEWS,LONDON,CAMDEN,LONDON,NW3 5DB,NW3 5DB,S,1P,D,E05000133,2012-03-19,1,IF3,96.0,POINT (526771.7629686858 184911.2980978308),2010-04-01 00:00:00,24170063,2012-01-01,640,2010-04-01,0 days,640,1,640,0,1,False,True,Belsize
24170063,41488,41488,00287001910015,E09000007,Camden,Inner London - West,19,DALEHAM MEWS,LONDON,NW3 5DB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,83.42,10000.0,2017-04-01 00:00:00+00:00,2017,2021-03,4990.0,GOLDIN FILMS LIMITED,453.89,True,2012-02-14,3334.0,True,5011906,17692150.0,C,,526770.0,184911.0,51.54886060000001,-0.17307479999999995,1,,,,19.0,,,,19.0,,,,,20400287,,N,osgb1000002298669357,10.0,osgb4000000030139073,2,osgb1000004337233,4,24170063.0,DALEHAM MEWS,,DALEHAM MEWS,LONDON,CAMDEN,LONDON,NW3 5DB,NW3 5DB,S,1P,D,E05000133,2012-03-19,1,IF3,96.0,POINT (526771.7629686858 184911.2980978308),2012-02-14 00:00:00,24170063,2021-04-01,3334,2010-04-01,684 days,4018,0,3334,684,1,False,True,Belsize
97024063,41576,41576,00288000410018,E09000007,Camden,Inner London - West,GND LGND & MEZZ FS 4,BELSIZE CRESCENT,LONDON,NW3 5QU,Offices (Inc Computer Centres),203,Office General,Office,69.0,17000.0,2017-04-01 00:00:00+00:00,2017,2021-03,8483.0,SWEDE TOOTH LTD,4766.76,True,2010-04-01,4018.0,True,5000414,17693344.0,CM01,,526835.0,184975.0,51.54942120000001,-0.17211479999999998,2,BELSIZE DENTAL CARE,,,4.0,,,,4.0,,,,,20400288,,N,osgb1000002298875113,10.0,osgb4000000030329994,5,osgb1000004337143,3,97024063.0,BELSIZE CRESCENT,,BELSIZE CRESCENT,LONDON,CAMDEN,LONDON,NW3 5QU,NW3 5QU,S,3E,D,E05000133,2012-03-19,3,CO,203.0,POINT (526836.7643868168 184975.3022891205),2010-04-01 00:00:00,97024063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Belsize
97037063,355452,355452,00294003310014,E09000007,Camden,Inner London - West,BST & GND FS 33,BELSIZE LANE,LONDON,NW3 5AS,Shops,249,Retail High Street,Retail,60.83,17250.0,2017-04-01 00:00:00+00:00,2017,2021-03,8607.75,XUL ARCHITECTURE LIMITED,385.42,True,2014-03-11,2578.0,True,5012264,17691895.0,CR08,,526898.0,184978.0,51.54943400000001,-0.1712056,2,X U L ARCHITECTURE LTD,,,33.0,,,,33.0,,,,,20400294,,N,osgb1000002298669237,13.0,osgb4000000030223555,6,osgb1000004337115,4,97037063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AS,NW3 5AS,S,1E,D,E05000128,2012-03-19,2,CS,249.0,POINT (526899.7651865979 184978.3013219518),2014-03-11 00:00:00,97037063,2021-04-01,2578,2010-04-01,1440 days,4018,0,2578,1440,1,False,True,Belsize
97047063,42016,42016,00294005200003,E09000007,Camden,Inner London - West,BST & GND FS 52,BELSIZE LANE,LONDON,NW3 5AR,Shops,249,Retail High Street,Retail,118.49,25000.0,2017-04-01 00:00:00+00:00,2017,2021-03,12475.0,LAKEPEN LTD,8547.0,True,2010-04-01,4018.0,True,5049057,17691872.0,CR08,,526874.0,184984.0,51.549493299999995,-0.1715494,1,PYRAMID,,,52.0,,,,52.0,,,,,20400294,,N,osgb1000002298669190,15.0,osgb4000000030223555,6,osgb1000004337129,4,97047063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AR,NW3 5AR,S,1F,D,E05000133,2012-03-19,3,CS,249.0,POINT (526875.7641134844 184984.2998784613),2010-04-01 00:00:00,97047063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Belsize
97048063,42060,42060,00294005410011,E09000007,Camden,Inner London - West,BST & GND FS 54,BELSIZE LANE,LONDON,NW3 5AR,Shops,249,Retail High Street,Retail,126.7,27500.0,2017-04-01 00:00:00+00:00,2017,2021-03,13722.5,CAMURE LTD,9625.5,True,2010-04-01,4018.0,True,5135791,17691878.0,C,,526870.0,184979.0,51.5494493,-0.17160889999999998,1,,,,54.0,,,,54.0,,,,,20400294,,N,osgb1000002298669183,13.0,osgb4000000030223555,6,osgb1000004337128,4,97048063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AR,NW3 5AR,S,1R,D,E05000133,2012-03-19,8,CS5,249.0,POINT (526871.7611891691 184979.3037531683),2010-04-01 00:00:00,97048063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Belsize
97049063,42078,42078,00294005610013,E09000007,Camden,Inner London - West,BST & GND FS 56,BELSIZE LANE,LONDON,NW3 5AR,Shops,249,Retail High Street,Retail,93.3,18250.0,2010-03-02 00:00:00+00:00,2010,2014-09,8595.75,97049063,,True,2010-04-01,,True,5030606,17691879.0,C,,526867.0,184975.0,51.549414,-0.17165360000000002,1,,,,56.0,,,,56.0,,,,,20400294,,N,osgb1000002298669085,12.0,osgb4000000030223555,6,osgb1000004337127,4,97049063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AR,NW3 5AR,S,1P,D,E05000133,2012-03-19,8,CS,249.0,POINT (526868.7601838455 184975.3007604629),2010-04-01,97049063,2014-10-01,1644,2010-04-01,0 days,1644,1,1644,0,1,False,True,Belsize
97049063,42104,42104,00294005610013,E09000007,Camden,Inner London - West,BST & GND FS 56,BELSIZE LANE,LONDON,NW3 5AR,Shops,249,Retail High Street,Retail,93.3,21500.0,2017-04-01 00:00:00+00:00,2017,2021-03,10728.5,VILLAGE VET LIMITED,3320.55,True,2014-11-11,2333.0,True,5030606,17691879.0,C,,526867.0,184975.0,51.549414,-0.17165360000000002,1,,,,56.0,,,,56.0,,,,,20400294,,N,osgb1000002298669085,12.0,osgb4000000030223555,6,osgb1000004337127,4,97049063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AR,NW3 5AR,S,1P,D,E05000133,2012-03-19,8,CS,249.0,POINT (526868.7601838455 184975.3007604629),2014-11-11 00:00:00,97049063,2021-04-01,2333,2010-04-01,1685 days,4018,0,2333,1685,1,False,True,Belsize
97050063,42192,42192,0029400601002B,E09000007,Camden,Inner London - West,BST & GND FS 60,BELSIZE LANE,LONDON,NW3 5AR,Shops,249,Retail High Street,Retail,148.77,26500.0,2017-04-01 00:00:00+00:00,2017,2021-03,13223.5,97050063,,True,2017-04-01,,True,5056846,17691869.0,CR,,526859.0,184965.0,51.5493259,-0.1717725,1,THE LATE LATE STORE,,,60.0,,,,60.0,,,,,20400294,,N,osgb1000002298669078,9.0,osgb4000000030411103,2,osgb1000004337125,4,97050063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5AR,NW3 5AR,S,1J,D,E05000133,2012-03-19,0,CS,249.0,POINT (526860.7615095869 184965.2975776295),2017-04-01 00:00:00,97050063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Belsize
97086063,42544,42544,002940088B0007,E09000007,Camden,Inner London - West,88B,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,56.33,13000.0,2017-04-01 00:00:00+00:00,2017,2021-03,6487.0,INCE PROPERTYTIME LTD,2057.41,True,2010-04-01,4018.0,True,5109374,17691975.0,C,,526788.0,184874.0,51.5485241,-0.1728287,2,,,88B,,,,,88.0,B,,,,20400294,,N,osgb1000002298669342,15.0,osgb4000000030329928,6,osgb1000004337222,7,97086063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BE,NW3 5BE,S,1S,D,E05000133,2012-03-19,0,CO,203.0,POINT (526789.7604398956 184874.3038788029),2010-04-01 00:00:00,97086063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Belsize
97089063,42596,42596,0029400901003A,E09000007,Camden,Inner London - West,1ST F 90,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,40.8,9600.0,2010-04-01 00:00:00+00:00,2010,2012-03,4089.6,MS N HARA,3702.45,True,2010-04-01,731.0,True,5159952,,CO01,5087743.0,526783.0,184870.0,51.54848920000001,-0.1729022,1,,,,,,,OFFICES AND PREMISES AT 1ST FLOOR,90.0,,,,,20400294,,N,,,osgb4000000030329928,6,osgb1000004337223,5,97089063.0,BELSIZE LANE,,,LONDON,CAMDEN,,,NW3 5BE,,,C,E05000133,,0,CO,203.0,POINT (526784.7613990456 184870.2955428479),2010-04-01 00:00:00,97089063,2012-04-01,731,2010-04-01,0 days,731,1,731,0,1,False,True,Belsize
97089063,42632,42632,0029400901003A,E09000007,Camden,Inner London - West,1ST F 90,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,40.8,13500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6736.5,ADMIRAL PROPERTY PARTNERSHIP LTD,3912.7,True,2013-05-14,2879.0,True,5159952,,CO01,5087743.0,526783.0,184870.0,51.54848920000001,-0.1729022,1,,,,,,,OFFICES AND PREMISES AT 1ST FLOOR,90.0,,,,,20400294,,N,,,osgb4000000030329928,6,osgb1000004337223,5,97089063.0,BELSIZE LANE,,,LONDON,CAMDEN,,,NW3 5BE,,,C,E05000133,,0,CO,203.0,POINT (526784.7613990456 184870.2955428479),2013-05-14 00:00:00,97089063,2021-04-01,2879,2010-04-01,1139 days,4018,0,2879,1139,1,False,True,Belsize
97091063,42676,42676,00294009210027,E09000007,Camden,Inner London - West,GND F 92,BELSIZE LANE,LONDON,NW3 5BE,Cafes,409,Retail Restaurants & Cafes,Retail,31.2,12500.0,2017-04-01 00:00:00+00:00,2017,2021-03,6237.5,97091063,,True,2017-04-01,,True,5049787,17691972.0,C,,526780.0,184866.0,51.548454,-0.17294690000000001,2,THE CAFE,,,92.0,,,,92.0,,,,,20400294,,N,osgb1000002298869295,10.0,osgb4000000030329928,6,osgb1000004337224,5,97091063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BE,NW3 5BE,S,1X,D,E05000133,2012-03-19,2,CR1,409.0,POINT (526781.7599794072 184866.3037247849),2017-04-01 00:00:00,97091063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Belsize
97116063,400581,400581,00424002110043,E09000007,Camden,Inner London - West,EXCL BST 21,BELSIZE PARK,LONDON,NW3 4DU,Hotels (3 Star And Under),137,Leisure General Hotels (3 star),Leisure,19.2630830040929,34500.0,2017-04-01 00:00:00+00:00,2017,2021-03,17215.5,97116063,,True,2017-04-01,,True,5045169,17689307.0,X,,526877.0,184882.0,51.548576000000004,-0.1715429,1,DILLONS HOTEL,,,21.0,,,,21.0,,,,,20400424,,N,osgb1000002298669378,7.0,osgb4000000030223547,6,osgb1000004336970,4,97116063.0,BELSIZE PARK,,BELSIZE PARK,LONDON,CAMDEN,LONDON,NW3 4DU,NW3 4DU,S,1E,D,E05000133,2012-03-19,1,CH,137.0,POINT (526878.7646401011 184882.3030267984),2017-04-01 00:00:00,97116063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Belsize
97590063,76772,76772,00432000900008,E09000007,Camden,Inner London - West,BST & GND FS 9,BELSIZE TERRACE,LONDON,NW3 4AX,Shops,249,Retail High Street,Retail,176.2,45000.0,2017-04-01 00:00:00+00:00,2017,2021-03,22455.0,97590063,,True,2017-04-01,,True,5109384,17688899.0,CR08,,526905.0,184954.0,51.5492167,-0.1711134,1,CHEMIST,,8-9,,,,,9.0,,,,,20400432,,N,osgb1000002298669231,11.0,osgb4000000030223556,4,osgb1000004337110,3,97590063.0,BELSIZE TERRACE,,BELSIZE TERRACE,LONDON,CAMDEN,LONDON,NW3 4AX,NW3 4AX,S,1G,D,E05000128,2012-03-19,0,CS,249.0,POINT (526906.7617533928 184954.2963532904),2017-04-01 00:00:00,97590063,2021-04-01,1461,2010-04-01,2557 days,4018,0,1461,2557,1,False,True,Belsize
98948063,76508,76508,00426000119998,E09000007,Camden,Inner London - West,ADJ 1,BAYNES MEWS,LONDON,NW3 5BH,Stores,268,Retail High Street,Retail,6.0,710.0,2017-04-01 00:00:00+00:00,2017,2021-03,354.29,LBC - RK20NCE020,235.7,True,2010-04-01,4018.0,True,5109355,,C,,526816.0,184905.0,51.5487964,-0.17241389999999998,1,,,,,,,,,,,,STORE ADJACENT 1 BAYNES MEWS,20400426,,N,,,osgb4000000030329929,4,osgb1000004337198,3,98948063.0,BAYNES MEWS,,,LONDON,CAMDEN,,,NW3 5BH,,,L,E05000133,,0,CW3,268.0,POINT (526817.763238114 184905.3033947422),2010-04-01 00:00:00,98948063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Belsize
112634063,87,87,00000031081012,E09000007,Camden,Inner London - West,GND F 88,BELSIZE LANE,LONDON,NW3 5BE,Offices (Inc Computer Centres),203,Office General,Office,28.2,11750.0,2017-04-01 00:00:00+00:00,2017,2021-03,5863.25,ADMIRAL PROPERTY PARTNERSHIP LTD,1700.48,True,2010-04-01,4018.0,True,5018920,17691977.0,C,,526788.0,184875.0,51.548533,-0.1728283,2,,,,88.0,,,,88.0,,,,,20400294,,N,osgb1000002298669340,14.0,osgb4000000030329928,6,osgb1000004337222,7,112634063.0,BELSIZE LANE,,BELSIZE LANE,LONDON,CAMDEN,LONDON,NW3 5BE,NW3 5BE,S,1R,D,E05000133,2012-03-19,1,CO,203.0,POINT (526789.763450867 184875.2942939029),2010-04-01 00:00:00,112634063,2021-04-01,4018,2010-04-01,0 days,4018,0,4018,0,1,False,True,Belsize
