,Unnamed: 0,rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,geometry
5026,5026,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2012-12,6300.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1006.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5027,5027,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2013-03,6300.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1096.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5028,5028,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2013-06,6468.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1187.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5029,5029,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2013-09,6468.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1279.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5030,5030,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2013-12,6468.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1371.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5031,5031,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2014-03,6468.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1461.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5032,5032,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2014-06,6594.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1552.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5033,5033,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2014-09,6594.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1644.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5034,5034,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2014-12,6594.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1736.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
5035,5035,00019000410029,E09000007,Camden,Inner London - West,270735000,UNIT 2 AT 4,PARK END,LONDON,NW3 2SE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",96,Industrial General,Industrial,56.76,14000.0,2010-04-01 00:00:00+00:00,2010,2015-03,6594.0,DONALD MACKINNON & MIMI,5700.27,True,2010-04-01,1826.0,True,5078998,,I,,,CO01,5110192.0,527250.0,185715.0,51.5559782,-0.16586529999999994,2,5210,E,2007-12-21,2019-08-25,2002-10-08,,,,,,,,,,,,UNIT 2,,4.0,,,,,,20400190,1,,,N,,,osgb4000000030330336,3,osgb1000005164977,4,,270735000.0,PARK END,,,,,,,,,,,LONDON,CAMDEN,,,,NW3 2SE,,,L,,E05000135,,,0,IF3,96.0,,POINT (527251.768302488 185715.3177131881)
